Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25.0,2000,34,27,2239,24.9,4,5,9,4,0,0,2,0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,1,us USA,"MF,FW",eng Premier League,25-199,2000,24.9,4,43,16,37.2,1.73,0.64,0.09,0.25,0,0,1,us USA,"MF,FW",eng Premier League,25-199,2000,34,2239,66,71.1,24.9,27,78,2,7,21,1,1.18,35,28,+7,+0.28,+1.47,1,us USA,"MF,FW",eng Premier League,25-199,2000,24.9,2,0,0,19,48,5,36,17,23,0
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19.0,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2,eng ENG,DF,eng Premier League,19-361,2006,1.8,0,0,0,,0.00,0.00,,,0,0,3,eng ENG,DF,eng Premier League,19-361,2006,3,164,55,5.2,1.8,2,60,0,1,45,11,1.00,2,4,-2,-1.10,-1.10,2,eng ENG,DF,eng Premier League,19-361,2006,1.8,0,0,0,3,1,0,3,2,4,0
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20.0,2006,21,4,666,7.4,2,0,2,2,0,0,0,0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,3,ma MAR,"MF,FW",es La Liga,20-117,2006,7.4,2,17,4,23.5,2.30,0.54,0.12,0.50,0,0,5,ma MAR,"MF,FW",es La Liga,20-117,2006,21,666,32,21.8,7.4,4,75,1,17,22,13,1.62,17,12,+5,+0.68,+0.71,3,ma MAR,"MF,FW",es La Liga,20-117,2006,7.4,0,0,0,6,3,2,27,3,3,0
4,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,26.0,1999,8,1,138,1.5,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,4,dz ALG,MF,fr Ligue 1,26-173,1999,1.5,0,4,1,25.0,2.61,0.65,0.00,0.00,0,0,6,dz ALG,MF,fr Ligue 1,26-173,1999,8,138,17,4.8,1.5,1,58,0,7,11,2,1.00,2,8,-6,-3.91,-4.60,4,dz ALG,MF,fr Ligue 1,26-173,1999,1.5,1,0,0,3,0,0,1,2,1,0
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,5,dz ALG,MF,fr Ligue 1,26-173,1999,10.5,2,11,5,45.5,1.05,0.48,0.00,0.00,2,2,7,dz ALG,MF,fr Ligue 1,26-173,1999,13,943,73,32.7,10.5,11,81,4,2,25,0,1.38,12,13,-1,-0.10,+0.74,5,dz ALG,MF,fr Ligue 1,26-173,1999,10.5,1,0,0,16,12,1,9,13,17,0
6,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32.0,1993,20,12,1065,11.8,3,0,3,3,0,0,4,1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,6,tn TUN,"MF,DF",fr Ligue 1,32-140,1993,11.8,3,11,3,27.3,0.93,0.25,0.27,1.00,0,0,9,tn TUN,"MF,DF",fr Ligue 1,32-140,1993,20,1065,53,37.0,11.8,12,74,6,8,22,2,0.70,19,16,+3,+0.25,+1.49,6,tn TUN,"MF,DF",fr Ligue 1,32-140,1993,11.8,4,1,1,20,17,0,31,10,9,0
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,26.0,2000,17,11,853,9.5,0,0,0,0,0,0,3,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,7,gh GHA,MF,fr Ligue 1,26-044,2000,9.5,0,1,0,0.0,0.11,0.00,0.00,,0,0,10,gh GHA,MF,fr Ligue 1,26-044,2000,17,853,50,29.6,9.5,11,68,2,6,18,11,1.12,14,16,-2,-0.21,+0.68,7,gh GHA,MF,fr Ligue 1,26-044,2000,9.5,3,0,0,19,9,0,2,11,7,0
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999,24,13,1307,14.5,2,4,6,2,0,0,3,1,0.41,,,,,,,,,,,,,,,,,,,,,,,,,8,sa KSA,MF,fr Ligue 1,26-295,1999,14.5,2,8,3,37.5,0.55,0.21,0.25,0.67,0,0,11,sa KSA,MF,fr Ligue 1,26-295,1999,24,1307,54,45.4,14.5,13,85,8,11,18,6,1.79,32,17,+15,+1.03,+0.23,8,sa KSA,MF,fr Ligue 1,26-295,1999,14.5,3,1,0,24,14,1,46,9,22,0
9,Tay Abed,il ISR,MF,Levante,es La Liga,22.0,2004,6,0,48,0.5,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,9,il ISR,MF,es La Liga,22-062,2004,0.5,0,0,0,,0.00,0.00,,,0,0,12,il ISR,MF,es La Liga,22-062,2004,6,48,8,1.5,0.5,0,,0,6,8,9,1.33,2,2,0,0.00,+0.46,9,il ISR,MF,es La Liga,22-062,2004,0.5,0,0,0,1,2,0,3,1,1,0
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993,26,25,2163,24.0,1,0,1,1,0,0,6,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,10,fr FRA,MF,fr Ligue 1,33-097,1993,24.0,1,20,5,25.0,0.83,0.21,0.05,0.20,0,0,13,fr FRA,MF,fr Ligue 1,33-097,1993,26,2163,83,75.1,24.0,25,86,18,1,22,0,1.38,36,39,-3,-0.12,+0.13,10,fr FRA,MF,fr Ligue 1,33-097,1993,24.0,6,0,0,24,24,0,9,28,22,0
